luruizh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhuhaot1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
dengmen4,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
chanja51,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
leemic76,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
luochufa,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
lamchr25,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
rotholiv,0,0,0,0,0,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,11
chouche9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chazhoo1,1,1,1,8,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,24
wangboh2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
damdibby,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
tengmin1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
kazitaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xuyexion,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
wangli99,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
punfrede,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
jalalsam,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhouha33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shenhao4,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
contejas,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yaochen8,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
wangnic8,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
sahniarj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wujunxua,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
nguy1916,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yinlinta,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
patel415,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
duongke8,1,1,1,8,3,3,2,1,1,0,1,1,1,0,0,0,0,0,1,0,25
huzaifa3,1,1,1,7,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,24
lukaifen,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,30
chodiony,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhan4408,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
faroo127,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
chenka46,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhan4001,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
liming51,1,1,1,8,3,3,2,1,1,0,1,1,1,1,1,1,1,1,1,0,30
hawkin49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lizhiyu5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chosun19,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
downieth,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,0,29
wangelen,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
caowenka,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
jilong1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
nagrapa2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chensi91,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
liuyife7,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
jaipers5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
liutia86,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
alishah,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
suchangl,1,1,1,7,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,31
yize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanqinto,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
tranmin9,1,1,1,0,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,16
moazmuha,1,1,1,3,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,20
jiang197,1,1,1,6,3,3,2,1,1,1,1,1,1,1,1,1,1,1,0,1,29
wangwenf,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,30
wangt140,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
ahmedum5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
songzhif,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
maliksu9,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,30
chenha85,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
liujack8,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
yuqinxi,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
lijiay28,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
ratnaya6,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
renjenne,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
garret23,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
shijiaka,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhaohai5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
liuxi196,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
furaijiy,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
suielain,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wanghe15,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shuklah3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
ansari54,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
roussel6,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
linshar2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
kartonoe,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
tsaitsu3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chaud349,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
kammulaa,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
liangka7,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
lamarrea,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
vieirav2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,0,1,1,30
poddaran,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
navabzad,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shiqiush,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shanqiti,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
tangyunn,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shenjunw,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
tosally,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,0,29
huangv11,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhaoxua7,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
vargamat,1,1,1,7,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,31
transt19,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
allabwan,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yanyuqi2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
dingyua6,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
abdall77,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
vadayat1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
khanha11,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
stairsje,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
